Epoch,loss,mse,val_loss,val_mse
0,0.45778,0.08744,1.14179,0.34425
1,0.25855,0.02093,0.26166,0.0203
2,0.21947,0.01074,0.25388,0.02113
3,0.21413,0.00975,0.23164,0.01375
4,0.20792,0.0084,0.22067,0.00997
5,0.20068,0.00649,0.20077,0.00604
6,0.20325,0.00725,0.21608,0.00871
7,0.20193,0.00699,0.2182,0.01074
8,0.19652,0.0055,0.19353,0.00416
9,0.19284,0.00451,0.19881,0.00477
10,0.19108,0.00425,0.19256,0.00386
11,0.19052,0.00405,0.19293,0.00397
12,0.19266,0.0046,0.19197,0.00372
13,0.18851,0.00357,0.19992,0.00524
14,0.19315,0.00484,0.32124,0.04272
15,0.19514,0.00515,0.19352,0.00411
16,0.18747,0.00321,0.19155,0.00344
17,0.18524,0.00272,0.19706,0.00395
18,0.18485,0.00262,0.19412,0.004
19,0.18771,0.00342,0.19412,0.00424
20,0.1882,0.00343,0.19688,0.00521
21,0.18811,0.00347,0.19663,0.00482
22,0.1845,0.00253,0.19477,0.00379
23,0.18306,0.00213,0.19075,0.00303
24,0.18299,0.00209,0.20109,0.00498
25,0.19163,0.00427,0.19321,0.00412
26,0.18923,0.00372,0.197,0.00551
27,0.18426,0.00244,0.1881,0.00263
28,0.18306,0.00213,0.18879,0.00254
29,0.18921,0.00394,0.21604,0.01012
30,0.18466,0.00253,0.21151,0.00828
31,0.18311,0.00214,0.19503,0.00349
32,0.18172,0.00177,0.18895,0.00253
33,0.18112,0.00165,0.18793,0.00221
34,0.18123,0.00168,0.18836,0.00231
35,0.18095,0.00161,0.19618,0.00545
36,0.18117,0.00165,0.19132,0.0029
37,0.18678,0.00313,0.18967,0.00291
38,0.18456,0.00262,0.19111,0.0034
39,0.18369,0.0023,0.19216,0.00312
40,0.18133,0.00169,0.19264,0.00279
41,0.18069,0.00153,0.18896,0.00239
42,0.18242,0.00194,0.21508,0.00586
43,0.18186,0.00179,0.19161,0.00294
44,0.18064,0.00151,0.19179,0.00287
45,0.18018,0.00138,0.1882,0.00236
46,0.18229,0.00197,0.18846,0.00254
47,0.18031,0.00142,0.18964,0.00257
48,0.1843,0.00242,0.19178,0.00348
49,0.18159,0.00174,0.18809,0.00241
50,0.18056,0.00147,0.18893,0.00249
51,0.18,0.0013,0.18942,0.00262
52,0.1797,0.00123,0.18936,0.00291
53,0.17953,0.00118,0.20713,0.00425
54,0.18079,0.00149,0.18993,0.00264
55,0.18172,0.00181,0.18945,0.00277
56,0.18033,0.00138,0.1891,0.00237
57,0.17936,0.00113,0.18942,0.00226
58,0.17915,0.00105,0.18983,0.00233
59,0.17971,0.00124,0.19266,0.00258
60,0.18247,0.00195,0.18856,0.00288
61,0.18107,0.00158,0.19813,0.00596
62,0.18061,0.00146,0.18837,0.00231
63,0.17918,0.00107,0.18702,0.00205
64,0.17866,0.00094,0.18712,0.00199
65,0.17849,0.00089,0.18837,0.00209
66,0.17838,0.00086,0.18957,0.00215
67,0.17819,0.0008,0.18969,0.00216
68,0.17829,0.00083,0.18952,0.00234
69,0.17992,0.00126,0.36428,0.06316
70,0.18808,0.00339,0.19156,0.00335
71,0.17982,0.00127,0.19018,0.00261
72,0.17883,0.00098,0.1888,0.00225
73,0.17839,0.00086,0.19043,0.00239
74,0.17813,0.00078,0.189,0.00209
75,0.17796,0.00073,0.18905,0.00215
76,0.17792,0.00072,0.18818,0.00195
77,0.17777,0.00068,0.18936,0.00217
78,0.17764,0.00065,0.18889,0.00203
79,0.17789,0.00072,0.18956,0.00209
80,0.17763,0.00065,0.19137,0.00228
81,0.18148,0.00165,0.20333,0.00648
82,0.18182,0.00176,0.18779,0.00233
83,0.17885,0.00098,0.18965,0.00242
84,0.1779,0.00072,0.18951,0.0022
85,0.17756,0.00063,0.18959,0.00214
86,0.17744,0.0006,0.18901,0.00212
87,0.18068,0.00155,0.18992,0.00247
88,0.18048,0.00141,0.18842,0.00248
89,0.17798,0.00073,0.19059,0.00257
90,0.17917,0.00119,0.19962,0.00636
91,0.17852,0.00088,0.18839,0.00218
92,0.17745,0.0006,0.188,0.00198
93,0.17733,0.00057,0.18877,0.00214
94,0.17723,0.00054,0.18826,0.00206
95,0.17823,0.00081,0.1876,0.00203
96,0.17728,0.00056,0.18881,0.0021
97,0.17715,0.00052,0.18808,0.00193
98,0.17698,0.00049,0.18804,0.00191
99,0.17685,0.00045,0.18934,0.00201
100,0.17679,0.00044,0.1885,0.00197
101,0.18207,0.0018,0.19256,0.00288
102,0.17792,0.00073,0.18778,0.00212
103,0.17712,0.00052,0.18937,0.00212
