Epoch,loss,mse,val_loss,val_mse
0,0.38762,0.06372,1.64031,0.06289
1,0.30793,0.0362,6.63432,0.77882
2,0.27988,0.02841,9.13531,0.82854
3,0.22802,0.01481,0.93412,0.166
4,0.20422,0.00959,0.29778,0.04373
5,0.20199,0.00924,0.27025,0.03614
6,0.19301,0.00758,0.18083,0.00924
7,0.19207,0.00726,0.24351,0.0291
8,0.18286,0.00527,0.16597,0.00508
9,0.17681,0.00388,0.16637,0.00552
10,0.17392,0.00321,0.17066,0.00845
11,0.17252,0.00296,0.15922,0.00343
12,0.17206,0.00283,0.20902,0.01675
13,0.17523,0.00362,0.15958,0.00356
14,0.17031,0.00243,0.15733,0.00302
15,0.16895,0.00212,0.15615,0.00283
16,0.16795,0.00188,0.15434,0.00191
17,0.1677,0.00183,0.15378,0.00184
18,0.16691,0.00164,0.15377,0.00192
19,0.16861,0.00199,0.17582,0.00712
20,0.18019,0.00479,0.23093,0.02449
21,0.17576,0.0036,0.16338,0.00457
22,0.16985,0.00237,0.15591,0.00249
23,0.16842,0.00211,0.18922,0.00955
24,0.16989,0.0024,0.15502,0.00205
25,0.16719,0.00172,0.15347,0.00173
26,0.16599,0.00144,0.15268,0.00162
27,0.16652,0.00157,0.1527,0.00163
28,0.16556,0.00132,0.15188,0.00144
29,0.16506,0.00121,0.15239,0.00154
30,0.16506,0.00119,0.15328,0.00177
31,0.16491,0.00118,0.15152,0.00137
32,0.16456,0.00106,0.15351,0.00191
33,0.16467,0.00108,0.15227,0.00149
34,0.16404,0.00093,0.15216,0.00154
35,0.16403,0.00091,0.15291,0.00148
36,0.16504,0.00118,0.15355,0.00192
37,0.16724,0.00172,0.20166,0.01476
38,0.17222,0.00287,0.15434,0.00221
39,0.16591,0.00143,0.15238,0.00168
40,0.1647,0.00113,0.15206,0.0016
41,0.16419,0.001,0.15319,0.0018
42,0.16398,0.00092,0.15182,0.00137
43,0.16406,0.00093,0.15282,0.00167
44,0.16349,0.00079,0.15075,0.00117
45,0.16335,0.00075,0.15166,0.00133
46,0.16321,0.00071,0.15068,0.0011
47,0.16321,0.00072,0.15069,0.0011
48,0.163,0.00064,0.15065,0.00109
49,0.16307,0.00066,0.15113,0.00112
50,0.16365,0.00081,0.15144,0.00123
51,0.16314,0.00068,0.15036,0.00101
52,0.16279,0.00059,0.1507,0.00106
53,0.16285,0.0006,0.15088,0.00109
54,0.16271,0.00056,0.1504,0.00095
55,0.1627,0.00056,0.15059,0.001
56,0.16258,0.00052,0.15044,0.00096
57,0.16253,0.00051,0.15004,0.00087
58,0.16244,0.00048,0.15133,0.00104
59,0.16249,0.0005,0.15013,0.00092
