Epoch,loss,mse,val_loss,val_mse
0,0.48958,0.0681,3.21383,0.11336
1,0.41209,0.04,0.64791,0.09794
2,0.38374,0.03065,0.53983,0.09789
3,0.35206,0.02046,0.98243,0.23318
4,0.3331,0.01579,0.90867,0.19451
5,0.32727,0.01436,0.64281,0.08511
6,0.32216,0.01295,0.4947,0.06637
7,0.31908,0.01262,0.75003,0.15453
8,0.32867,0.01498,0.51817,0.07557
9,0.32139,0.01298,0.47236,0.05391
10,0.3161,0.01156,0.57948,0.09231
11,0.3106,0.01001,0.44483,0.04576
12,0.31507,0.01126,0.62455,0.10754
13,0.30927,0.00959,0.69744,0.12016
14,0.30075,0.00793,0.44497,0.0503
15,0.29881,0.00723,0.37317,0.02412
16,0.29743,0.00655,0.34828,0.01571
17,0.29515,0.00597,0.34086,0.01349
18,0.29381,0.00593,0.3584,0.01988
19,0.29183,0.00532,0.32767,0.00971
20,0.29038,0.00488,0.34497,0.01526
21,0.28955,0.00479,0.32772,0.01021
22,0.28694,0.00406,0.31706,0.00854
23,0.2872,0.00417,0.31863,0.00892
24,0.28608,0.00381,0.33048,0.00974
25,0.28481,0.00361,0.32498,0.00955
26,0.28261,0.00312,0.32954,0.00899
27,0.28809,0.0043,0.43321,0.04643
28,0.30198,0.00791,0.35265,0.01785
29,0.30038,0.00784,0.38756,0.02404
30,0.29496,0.00677,0.32636,0.00972
31,0.29275,0.00566,0.35741,0.02156
32,0.28909,0.00466,0.31667,0.00823
33,0.28744,0.00406,0.31654,0.00718
34,0.28351,0.0033,0.31049,0.00611
35,0.28305,0.00316,0.30662,0.00531
36,0.28106,0.00282,0.31091,0.00683
37,0.27997,0.00246,0.3068,0.00551
38,0.27962,0.00232,0.30609,0.00527
39,0.27858,0.00207,0.30515,0.00516
40,0.27893,0.00213,0.30617,0.0049
41,0.27796,0.00192,0.30675,0.00524
42,0.27718,0.00173,0.3093,0.00611
43,0.27675,0.00162,0.30788,0.00578
44,0.27725,0.00172,0.30582,0.00518
45,0.27629,0.00152,0.30638,0.00563
46,0.27648,0.00154,0.30985,0.0057
47,0.27607,0.00135,0.3115,0.0062
48,0.27588,0.00132,0.31108,0.00603
49,0.27593,0.00136,0.31133,0.00615
50,0.27526,0.00125,0.30533,0.00484
51,0.27517,0.00118,0.30799,0.00529
52,0.27576,0.00126,0.30755,0.00528
53,0.27582,0.00135,0.30398,0.00439
54,0.2754,0.00124,0.30417,0.00465
55,0.2753,0.00116,0.30781,0.00528
56,0.27552,0.00127,0.30727,0.00582
57,0.27508,0.00118,0.30556,0.00501
58,0.27497,0.00113,0.30631,0.00453
59,0.27543,0.00123,0.30413,0.00444
60,0.27471,0.00107,0.30657,0.00446
61,0.27457,0.00097,0.31072,0.00582
62,0.2743,0.0009,0.30932,0.00487
63,0.27394,0.0008,0.30527,0.00435
64,0.27468,0.00096,0.31053,0.006
65,0.27451,0.001,0.30854,0.00573
66,0.27426,0.00095,0.30652,0.005
67,0.2739,0.00084,0.30379,0.00441
68,0.27372,0.00075,0.30625,0.0047
69,0.27335,0.00069,0.30476,0.00439
70,0.27322,0.00066,0.30643,0.00487
71,0.27297,0.00057,0.30601,0.00477
72,0.27309,0.00057,0.30641,0.00437
73,0.27324,0.00063,0.30601,0.00546
74,0.27334,0.00068,0.30487,0.00524
75,0.27794,0.00181,0.31428,0.00557
76,0.28157,0.00299,0.40574,0.03659
77,0.28584,0.00356,0.37815,0.02294
78,0.28707,0.00445,0.50456,0.0631
79,0.28331,0.00363,0.342,0.0142
80,0.27973,0.00252,0.33654,0.0145
81,0.27765,0.00196,0.32648,0.01387
82,0.27592,0.00148,0.30408,0.00496
83,0.27521,0.0012,0.30742,0.0069
84,0.2757,0.00135,0.3526,0.01999
85,0.29227,0.00594,0.57091,0.10017
86,0.29849,0.00677,0.34429,0.01292
87,0.28792,0.0045,0.32367,0.00969
88,0.28438,0.00371,0.34525,0.01552
89,0.28089,0.00287,0.31322,0.00778
90,0.27993,0.0025,0.31255,0.00674
