Epoch,loss,mse,val_loss,val_mse
0,0.46857,0.06146,5.10021,0.48309
1,0.39041,0.03394,1.43755,0.23449
2,0.35468,0.02248,9.88809,0.64567
3,0.33811,0.01835,0.48443,0.0462
4,0.32217,0.01358,0.48212,0.03306
5,0.31905,0.01246,0.37908,0.02076
6,0.30941,0.00983,0.35651,0.0183
7,0.30904,0.00957,0.32494,0.01188
8,0.30379,0.00809,0.32119,0.01305
9,0.29758,0.00669,0.31589,0.0122
10,0.32328,0.01342,0.36863,0.0282
11,0.31106,0.01032,0.36769,0.02631
12,0.30027,0.00713,0.30156,0.00596
13,0.29964,0.00732,0.30223,0.00662
14,0.29547,0.00603,0.30781,0.00739
15,0.29247,0.00548,0.31535,0.00771
16,0.29316,0.0057,0.30437,0.00531
17,0.28838,0.00452,0.29608,0.00458
18,0.29063,0.0051,0.2989,0.00606
19,0.28754,0.00445,0.29103,0.00429
20,0.2888,0.00451,0.2999,0.00609
21,0.29106,0.00531,0.46752,0.06397
22,0.28937,0.005,0.32599,0.01513
23,0.2852,0.00387,0.31108,0.00944
24,0.28572,0.00407,0.29376,0.00507
25,0.28741,0.00465,0.29865,0.00429
26,0.28503,0.00388,0.28869,0.00347
27,0.28276,0.00334,0.28797,0.00306
28,0.28332,0.00346,0.28795,0.00319
29,0.28176,0.00298,0.28913,0.00359
30,0.29867,0.00711,2.01247,0.1254
31,0.32052,0.01263,0.55758,0.10174
32,0.29768,0.00688,0.3067,0.00828
33,0.28988,0.00511,0.29288,0.00387
34,0.28714,0.00443,0.2916,0.0038
35,0.2854,0.00391,0.29336,0.00469
36,0.28601,0.00417,0.29504,0.0046
37,0.28397,0.00376,0.29071,0.0042
38,0.28321,0.00339,0.28713,0.00298
39,0.28127,0.00294,0.28773,0.00325
40,0.28008,0.00259,0.28756,0.00336
41,0.2801,0.00259,0.28738,0.00337
42,0.27941,0.00238,0.28497,0.00252
43,0.27877,0.0022,0.28409,0.0022
44,0.27917,0.00232,0.2861,0.00263
45,0.27927,0.0024,0.28495,0.0024
46,0.27835,0.00206,0.28817,0.00404
47,0.27796,0.00199,0.28496,0.00247
48,0.27989,0.00254,0.30476,0.00593
49,0.2827,0.00318,0.29977,0.0065
50,0.28022,0.00258,0.29501,0.00485
51,0.27955,0.00237,0.28509,0.00256
52,0.27834,0.00213,0.28532,0.0026
53,0.27706,0.00171,0.28505,0.00255
54,0.27736,0.00176,0.28419,0.00218
55,0.27672,0.00162,0.28369,0.00209
56,0.27626,0.00146,0.28478,0.00231
57,0.27626,0.00144,0.2835,0.00201
58,0.27742,0.00175,0.321,0.00659
59,0.28139,0.00292,0.29419,0.00534
60,0.28335,0.0033,0.29782,0.00509
61,0.27838,0.00206,0.28478,0.00226
62,0.2768,0.00163,0.28305,0.00185
63,0.27603,0.00139,0.28364,0.00206
64,0.27592,0.00135,0.28201,0.00156
65,0.27562,0.00125,0.28305,0.00186
66,0.27562,0.00127,0.28272,0.00169
67,0.27518,0.00112,0.28313,0.00184
68,0.27511,0.00109,0.28303,0.00181
69,0.27522,0.00111,0.28292,0.00182
70,0.2749,0.00103,0.28241,0.0016
71,0.27492,0.00105,0.28358,0.00182
72,0.27508,0.00108,0.28388,0.00197
73,0.27495,0.00105,0.28254,0.00166
74,0.27466,0.00095,0.28346,0.00209
75,0.27492,0.00104,0.28344,0.00207
76,0.27475,0.00099,0.28284,0.00175
77,0.27784,0.00183,0.30112,0.00717
78,0.29431,0.00607,0.59064,0.094
79,0.28333,0.0034,0.34549,0.02536
80,0.2799,0.00249,0.298,0.00618
81,0.27773,0.00185,0.28561,0.00245
82,0.27617,0.0014,0.28384,0.00203
83,0.27541,0.00118,0.28398,0.00214
84,0.27491,0.00103,0.28303,0.00181
85,0.27472,0.00096,0.28291,0.0017
86,0.27458,0.00091,0.2831,0.00173
87,0.27429,0.00084,0.28345,0.00166
88,0.27423,0.00081,0.28241,0.00144
89,0.2742,0.00081,0.28257,0.00155
90,0.27421,0.00082,0.28283,0.0015
91,0.27396,0.00074,0.28247,0.00156
92,0.27411,0.00078,0.28509,0.00209
93,0.27433,0.00086,0.28267,0.00163
94,0.27395,0.00075,0.29246,0.00438
