Epoch,loss,mse,val_loss,val_mse
0,0.17132,0.03857,0.19099,0.01938
1,0.08029,0.01742,0.08461,0.01748
2,0.07285,0.01681,0.08062,0.01722
3,0.06896,0.0165,0.0742,0.01693
4,0.06794,0.01644,0.06871,0.01623
5,0.06489,0.01613,0.06563,0.01592
6,0.06232,0.01589,0.06485,0.01606
7,0.06082,0.01571,0.06106,0.01551
8,0.05945,0.01562,0.05683,0.01519
9,0.059,0.01554,0.06273,0.01585
10,0.05739,0.0154,0.0652,0.01589
11,0.05692,0.01533,0.05649,0.01511
12,0.05585,0.01519,0.05464,0.01486
13,0.0551,0.01513,0.05531,0.01488
14,0.05458,0.01505,0.05713,0.01499
15,0.0541,0.01499,0.0534,0.01474
16,0.05382,0.01496,0.05902,0.01534
17,0.05363,0.01491,0.05563,0.01496
18,0.05297,0.01486,0.05382,0.01473
19,0.05248,0.0148,0.05268,0.01462
20,0.05272,0.01485,0.05495,0.01512
21,0.05172,0.01474,0.05421,0.01482
22,0.05156,0.0147,0.05376,0.01478
23,0.05093,0.0146,0.05354,0.01465
24,0.05093,0.01465,0.05516,0.01488
25,0.05053,0.01457,0.05296,0.01465
26,0.0513,0.01464,0.05616,0.01497
27,0.05089,0.01461,0.05341,0.01471
28,0.04941,0.0144,0.05415,0.01481
29,0.04964,0.01444,0.05431,0.01487
30,0.04862,0.0143,0.05519,0.01487
31,0.04898,0.01432,0.05463,0.01481
32,0.04798,0.01418,0.05414,0.01482
33,0.04735,0.01411,0.05439,0.01485
34,0.04632,0.01391,0.05503,0.01493
35,0.04519,0.01371,0.05659,0.01497
36,0.04539,0.01372,0.05644,0.01507
37,0.04492,0.01364,0.05743,0.01511
38,0.04453,0.01358,0.05911,0.01531
39,0.04309,0.01328,0.05848,0.01515
40,0.04231,0.0131,0.06175,0.01561
41,0.04167,0.01292,0.06149,0.01568
42,0.04013,0.01257,0.06382,0.01566
43,0.03951,0.0124,0.06134,0.01551
44,0.03907,0.01228,0.0632,0.01579
45,0.03805,0.012,0.0662,0.01613
46,0.03681,0.01169,0.06786,0.01624
47,0.03684,0.01168,0.06866,0.01658
48,0.03467,0.01105,0.06929,0.0165
49,0.03377,0.01081,0.07285,0.01672
