Epoch,loss,mse,val_loss,val_mse
0,0.05946,0.05946,0.11014,0.11014
1,0.02334,0.02334,0.17427,0.17427
2,0.01418,0.01418,0.01353,0.01353
3,0.01055,0.01055,0.0126,0.0126
4,0.01097,0.01097,0.05333,0.05333
5,0.0094,0.0094,0.01123,0.01123
6,0.00818,0.00818,0.00867,0.00867
7,0.00774,0.00774,0.02006,0.02006
8,0.00875,0.00875,0.00862,0.00862
9,0.00637,0.00637,0.00741,0.00741
10,0.00552,0.00552,0.00679,0.00679
11,0.00528,0.00528,0.00735,0.00735
12,0.00514,0.00514,0.00957,0.00957
13,0.0055,0.0055,0.00653,0.00653
14,0.00441,0.00441,0.00657,0.00657
15,0.00486,0.00486,0.02138,0.02138
16,0.00603,0.00603,0.00969,0.00969
17,0.00459,0.00459,0.00681,0.00681
18,0.00383,0.00383,0.00637,0.00637
19,0.00642,0.00642,0.01535,0.01535
20,0.00568,0.00568,0.00718,0.00718
21,0.00422,0.00422,0.00647,0.00647
22,0.00392,0.00392,0.00681,0.00681
23,0.00381,0.00381,0.00567,0.00567
24,0.00309,0.00309,0.00629,0.00629
25,0.00287,0.00287,0.00675,0.00675
26,0.00349,0.00349,0.01449,0.01449
27,0.00332,0.00332,0.00567,0.00567
28,0.0035,0.0035,0.00586,0.00586
29,0.00268,0.00268,0.00583,0.00583
30,0.00252,0.00252,0.00634,0.00634
31,0.0022,0.0022,0.0064,0.0064
32,0.00203,0.00203,0.00605,0.00605
33,0.00192,0.00192,0.00574,0.00574
34,0.00627,0.00627,0.03686,0.03686
35,0.00542,0.00542,0.00745,0.00745
36,0.00301,0.00301,0.00597,0.00597
37,0.00232,0.00232,0.00611,0.00611
38,0.00202,0.00202,0.00563,0.00563
39,0.00194,0.00194,0.0053,0.0053
40,0.00191,0.00191,0.00556,0.00556
41,0.00191,0.00191,0.0064,0.0064
42,0.00168,0.00168,0.00629,0.00629
43,0.00163,0.00163,0.0058,0.0058
44,0.00145,0.00145,0.0055,0.0055
45,0.00613,0.00613,0.0067,0.0067
46,0.00247,0.00247,0.00723,0.00723
47,0.00185,0.00185,0.00613,0.00613
48,0.00148,0.00148,0.00588,0.00588
49,0.00136,0.00136,0.00564,0.00564
50,0.00131,0.00131,0.00594,0.00594
51,0.00218,0.00218,0.00619,0.00619
52,0.00193,0.00193,0.00743,0.00743
53,0.00327,0.00327,0.00605,0.00605
54,0.00203,0.00203,0.00717,0.00717
