Epoch,loss,mse,val_loss,val_mse
0,0.15174,0.15174,0.33344,0.33344
1,0.10777,0.10777,0.36443,0.36443
2,0.0829,0.0829,0.10148,0.10148
3,0.06237,0.06237,0.22922,0.22922
4,0.062,0.062,0.17179,0.17179
5,0.05234,0.05234,0.06737,0.06737
6,0.07109,0.07109,0.36216,0.36216
7,0.05875,0.05875,0.16271,0.16271
8,0.04474,0.04474,0.0486,0.0486
9,0.04017,0.04017,0.0412,0.0412
10,0.0381,0.0381,0.04111,0.04111
11,0.03574,0.03574,0.03585,0.03585
12,0.03158,0.03158,0.03528,0.03528
13,0.03256,0.03256,0.03475,0.03475
14,0.03,0.03,0.03355,0.03355
15,0.03068,0.03068,0.03058,0.03058
16,0.0324,0.0324,0.03443,0.03443
17,0.02921,0.02921,0.03237,0.03237
18,0.02832,0.02832,0.03345,0.03345
19,0.02688,0.02688,0.02995,0.02995
20,0.02358,0.02358,0.03197,0.03197
21,0.03081,0.03081,0.06058,0.06058
22,0.02654,0.02654,0.03561,0.03561
23,0.02399,0.02399,0.02821,0.02821
24,0.02361,0.02361,0.03139,0.03139
25,0.02433,0.02433,0.03187,0.03187
26,0.02273,0.02273,0.02918,0.02918
27,0.02253,0.02253,0.02735,0.02735
28,0.0217,0.0217,0.02803,0.02803
29,0.02014,0.02014,0.02854,0.02854
30,0.01952,0.01952,0.02588,0.02588
31,0.019,0.019,0.03914,0.03914
32,0.01919,0.01919,0.02573,0.02573
33,0.03848,0.03848,0.03236,0.03236
34,0.02574,0.02574,0.04847,0.04847
35,0.02184,0.02184,0.03038,0.03038
36,0.01861,0.01861,0.02536,0.02536
37,0.01779,0.01779,0.02957,0.02957
38,0.01811,0.01811,0.02519,0.02519
39,0.02035,0.02035,0.02685,0.02685
40,0.01836,0.01836,0.02901,0.02901
41,0.01669,0.01669,0.02502,0.02502
42,0.0164,0.0164,0.02577,0.02577
43,0.0169,0.0169,0.02654,0.02654
44,0.01658,0.01658,0.02651,0.02651
45,0.01665,0.01665,0.02678,0.02678
46,0.01921,0.01921,0.03084,0.03084
47,0.02606,0.02606,0.38699,0.38699
48,0.02111,0.02111,0.02658,0.02658
49,0.01697,0.01697,0.02793,0.02793
50,0.01607,0.01607,0.02891,0.02891
51,0.01544,0.01544,0.0254,0.0254
52,0.01486,0.01486,0.02629,0.02629
53,0.01578,0.01578,0.02586,0.02586
54,0.01486,0.01486,0.02767,0.02767
55,0.01474,0.01474,0.02506,0.02506
56,0.01394,0.01394,0.02658,0.02658
57,0.0142,0.0142,0.02761,0.02761
58,0.01366,0.01366,0.02599,0.02599
59,0.01464,0.01464,0.03544,0.03544
60,0.0244,0.0244,0.03092,0.03092
61,0.01702,0.01702,0.03561,0.03561
62,0.01521,0.01521,0.02962,0.02962
