Epoch,loss,mse,val_loss,val_mse
0,0.3122,0.03968,0.43311,0.07046
1,0.22016,0.01459,0.35153,0.05148
2,0.19489,0.00886,0.27693,0.03407
3,0.18514,0.00679,0.19947,0.0107
4,0.18052,0.0058,0.17973,0.00477
5,0.17573,0.00489,0.19298,0.00872
6,0.17121,0.00371,0.17151,0.00266
7,0.17015,0.00343,0.17897,0.00503
8,0.1728,0.00405,0.17707,0.00432
9,0.17073,0.00382,0.18096,0.00485
10,0.17053,0.00382,0.17573,0.0039
11,0.16942,0.00349,0.17402,0.00345
12,0.1649,0.00247,0.17041,0.00258
13,0.16376,0.00214,0.17956,0.00378
14,0.17132,0.00423,0.17984,0.00542
15,0.17354,0.00461,0.1884,0.0079
16,0.16736,0.00303,0.19082,0.00744
17,0.16424,0.0024,0.16879,0.00208
18,0.16195,0.00181,0.16852,0.00195
19,0.16147,0.00166,0.17015,0.00218
20,0.16103,0.00156,0.16817,0.00171
21,0.1601,0.0014,0.16998,0.00209
22,0.16241,0.00202,0.17364,0.0033
23,0.1653,0.00244,0.18608,0.006
24,0.16159,0.00169,0.17757,0.00372
25,0.16108,0.00162,0.1693,0.00225
26,0.15972,0.00131,0.16905,0.00191
27,0.15954,0.00129,0.16814,0.00175
28,0.15875,0.00105,0.16733,0.0015
29,0.15862,0.00104,0.16722,0.00157
30,0.15836,0.00098,0.1677,0.00153
31,0.16684,0.00312,0.19702,0.00754
32,0.16688,0.00295,0.1728,0.00303
33,0.16231,0.00195,0.16826,0.00188
34,0.15988,0.00132,0.16864,0.00209
35,0.16004,0.00139,0.17139,0.00221
36,0.16289,0.00209,0.17603,0.0043
37,0.1603,0.00146,0.17328,0.00264
38,0.16148,0.00175,0.16891,0.00209
39,0.15875,0.00109,0.16762,0.00149
40,0.15935,0.00122,0.16867,0.00196
41,0.1589,0.00116,0.16735,0.00147
42,0.15807,0.00091,0.16753,0.00147
43,0.15787,0.00084,0.16652,0.00136
44,0.15808,0.00082,0.17895,0.00323
45,0.17429,0.00411,0.23577,0.01825
46,0.165,0.0024,0.17135,0.00264
47,0.16127,0.00171,0.17016,0.00258
48,0.16234,0.00186,0.16834,0.00202
49,0.1598,0.00126,0.16892,0.00193
50,0.15892,0.00108,0.16686,0.00153
51,0.15808,0.0009,0.16762,0.00162
52,0.15779,0.00083,0.1666,0.00141
53,0.15804,0.00088,0.16694,0.00147
54,0.1578,0.00081,0.16682,0.00148
55,0.15778,0.0008,0.1663,0.0013
56,0.1663,0.00286,0.21766,0.01797
57,0.17105,0.00361,0.17737,0.00457
58,0.16264,0.00195,0.16757,0.00174
59,0.15978,0.00129,0.16803,0.00177
60,0.15919,0.00117,0.16739,0.0017
61,0.15855,0.00099,0.16612,0.00133
62,0.15822,0.00091,0.16632,0.0013
63,0.15775,0.00079,0.16691,0.00136
64,0.1576,0.00076,0.16618,0.00127
65,0.15745,0.00071,0.16628,0.00129
66,0.15751,0.00071,0.16593,0.00123
67,0.15743,0.00069,0.16579,0.00119
68,0.15722,0.00064,0.16622,0.00125
69,0.15703,0.0006,0.1662,0.00122
70,0.15695,0.00058,0.16615,0.00116
71,0.15671,0.00052,0.16618,0.00119
72,0.15665,0.00051,0.16595,0.00116
73,0.15661,0.0005,0.16592,0.00115
74,0.15652,0.00046,0.16613,0.00111
75,0.15649,0.00046,0.16613,0.00116
76,0.1565,0.00047,0.16681,0.00128
77,0.15652,0.00046,0.16584,0.00117
78,0.15642,0.00044,0.16615,0.00118
79,0.15645,0.00044,0.16598,0.00121
80,0.15633,0.00041,0.1664,0.00116
81,0.15617,0.00037,0.16612,0.00109
82,0.15607,0.00034,0.16572,0.0011
83,0.15615,0.00037,0.16631,0.00115
84,0.15607,0.00034,0.16577,0.00108
85,0.15616,0.00037,0.1659,0.00108
86,0.16016,0.00139,0.25604,0.02827
87,0.17033,0.00337,0.17522,0.00315
88,0.16534,0.00258,0.17343,0.00269
89,0.16041,0.00137,0.17912,0.00493
90,0.1596,0.00116,0.16773,0.00151
91,0.15792,0.00077,0.16715,0.00126
92,0.15698,0.00057,0.16688,0.00121
93,0.15699,0.00057,0.16648,0.00119
94,0.15673,0.00051,0.16683,0.00118
95,0.1567,0.0005,0.16668,0.00114
96,0.15674,0.00052,0.16632,0.00127
97,0.15644,0.00043,0.16634,0.00115
98,0.15625,0.00039,0.16662,0.00118
99,0.15618,0.00038,0.16666,0.00116
100,0.15664,0.00045,0.16644,0.00119
101,0.15623,0.00038,0.16664,0.00112
102,0.15601,0.00033,0.16719,0.00117
103,0.15627,0.00039,0.16644,0.00114
104,0.15607,0.00035,0.16673,0.00118
105,0.15596,0.00032,0.16729,0.00114
106,0.15585,0.00029,0.16693,0.00108
107,0.15574,0.00026,0.16706,0.00108
108,0.15573,0.00026,0.16677,0.00108
109,0.15574,0.00026,0.16691,0.0011
110,0.15581,0.00028,0.16797,0.00125
111,0.15591,0.00032,0.16679,0.00127
112,0.15648,0.00045,0.16758,0.00112
