Epoch,loss,mse,val_loss,val_mse
0,0.27328,0.0272,0.22174,0.01211
1,0.21526,0.01113,0.22855,0.01276
2,0.20632,0.00891,0.21307,0.01083
3,0.19879,0.00712,0.19616,0.00685
4,0.19666,0.00649,0.20008,0.00788
5,0.19312,0.00562,0.19149,0.00501
6,0.19122,0.00515,0.22685,0.0135
7,0.19512,0.00618,0.19382,0.00604
8,0.18796,0.0044,0.18762,0.00426
9,0.18541,0.00382,0.19678,0.00537
10,0.18786,0.00452,0.19022,0.00478
11,0.18489,0.00371,0.18783,0.00468
12,0.18756,0.00433,0.20015,0.00698
13,0.18564,0.00378,0.19103,0.00507
14,0.18493,0.00369,0.1874,0.00439
15,0.18127,0.00274,0.18591,0.00379
16,0.18085,0.00267,0.18487,0.00352
17,0.17925,0.0022,0.18497,0.00369
18,0.18008,0.00243,0.18562,0.0035
19,0.18073,0.0026,0.1838,0.00364
20,0.17838,0.00197,0.18863,0.00364
21,0.17975,0.0023,0.21536,0.00877
22,0.18474,0.00372,0.19543,0.00569
23,0.17923,0.00219,0.18276,0.00298
24,0.17877,0.0021,0.20912,0.00706
25,0.18001,0.00238,0.18286,0.00304
26,0.17902,0.00212,0.18128,0.00264
27,0.17695,0.0016,0.18232,0.00269
28,0.17643,0.00146,0.18355,0.00277
29,0.17801,0.00189,0.19437,0.00675
30,0.18077,0.00263,0.18211,0.00272
31,0.17708,0.00161,0.18696,0.00406
32,0.17894,0.0021,0.18345,0.00305
33,0.17766,0.00178,0.18567,0.00305
34,0.17637,0.00144,0.18419,0.00295
35,0.17705,0.00164,0.18546,0.00337
36,0.17657,0.00148,0.18382,0.00273
37,0.17583,0.00129,0.18606,0.00351
38,0.17653,0.00148,0.18652,0.00297
39,0.17829,0.00195,0.18776,0.00396
40,0.17656,0.00147,0.18618,0.00336
41,0.1759,0.0013,0.18187,0.00249
42,0.17546,0.0012,0.18477,0.00268
43,0.17556,0.00122,0.18245,0.00265
44,0.1753,0.00116,0.18584,0.00344
45,0.17569,0.00128,0.18795,0.00338
46,0.18187,0.00274,0.18877,0.00418
47,0.17604,0.00131,0.1813,0.00261
48,0.17521,0.00111,0.18209,0.00243
49,0.17566,0.00126,0.19158,0.00501
50,0.1756,0.00121,0.18302,0.00268
51,0.17455,0.00094,0.18361,0.00246
52,0.17492,0.00104,0.18232,0.0024
53,0.17625,0.00137,0.19691,0.00773
54,0.17903,0.00209,0.18105,0.00246
55,0.17541,0.00112,0.18184,0.00235
56,0.17462,0.00094,0.18199,0.00235
57,0.17433,0.00088,0.18202,0.00224
58,0.17414,0.00082,0.18208,0.00235
59,0.17403,0.00079,0.18208,0.00219
60,0.17405,0.00079,0.18124,0.00209
61,0.17423,0.00084,0.18243,0.00223
62,0.17402,0.00079,0.18405,0.00237
63,0.17708,0.00156,0.19357,0.00626
64,0.17883,0.00201,0.18125,0.00249
65,0.17474,0.00099,0.18213,0.00236
66,0.17407,0.0008,0.18232,0.00243
67,0.17514,0.00113,0.19087,0.00542
68,0.17528,0.0011,0.1816,0.00227
69,0.17494,0.00101,0.18245,0.00273
70,0.17878,0.00217,0.18061,0.0024
71,0.17491,0.00096,0.18073,0.00223
72,0.17554,0.00129,0.18175,0.00231
73,0.17387,0.00074,0.18296,0.0023
74,0.17365,0.00068,0.18273,0.00221
75,0.17354,0.00064,0.18287,0.00222
76,0.17492,0.00109,0.18294,0.00232
77,0.17363,0.00068,0.18711,0.00265
78,0.17341,0.00062,0.18319,0.00225
79,0.1735,0.00064,0.18611,0.00302
80,0.17356,0.00066,0.18167,0.00215
81,0.17444,0.00088,0.18139,0.0024
82,0.17486,0.00103,0.18395,0.00286
83,0.17371,0.0007,0.18382,0.00234
84,0.17347,0.00063,0.18421,0.00237
85,0.17326,0.00058,0.18545,0.00242
86,0.17301,0.00052,0.18372,0.0022
87,0.17296,0.0005,0.18291,0.00218
88,0.17295,0.0005,0.18316,0.00228
89,0.1728,0.00046,0.18275,0.00207
90,0.17269,0.00044,0.1841,0.0022
91,0.17303,0.00054,0.18322,0.00261
92,0.17336,0.00061,0.18207,0.00218
93,0.17265,0.00043,0.18222,0.00204
94,0.17255,0.00041,0.1854,0.00229
95,0.1741,0.00082,0.20592,0.0069
96,0.17654,0.00139,0.19367,0.00497
97,0.174,0.00077,0.18098,0.00225
98,0.17301,0.00054,0.20901,0.00506
99,0.17271,0.00046,0.18271,0.00208
100,0.17246,0.0004,0.18361,0.00217
101,0.17232,0.00036,0.1835,0.00218
102,0.17233,0.00037,0.18579,0.00232
103,0.17222,0.00034,0.18469,0.00218
104,0.17214,0.00033,0.18433,0.00217
105,0.17204,0.0003,0.18608,0.00224
106,0.17199,0.00029,0.184,0.00207
107,0.17196,0.00029,0.18439,0.00216
108,0.17289,0.00053,0.18603,0.00224
109,0.17205,0.00031,0.18576,0.00225
110,0.17189,0.00027,0.18282,0.00226
