Epoch,loss,mse,val_loss,val_mse
0,0.39321,0.12387,0.74417,0.20319
1,0.2175,0.06044,0.28211,0.08529
2,0.1809,0.05066,0.16839,0.04771
3,0.14036,0.03609,0.16388,0.04401
4,0.12015,0.03203,0.12628,0.0339
5,0.12225,0.03281,0.13364,0.03584
6,0.12156,0.03193,0.23687,0.07948
7,0.09295,0.02432,0.3504,0.10057
8,0.10554,0.02771,0.20954,0.07019
9,0.08553,0.02305,0.31417,0.0779
10,0.09114,0.02413,0.1271,0.03177
11,0.07006,0.01877,0.11681,0.02987
12,0.06629,0.0184,0.09059,0.02318
13,0.06461,0.01789,0.08717,0.02382
14,0.05589,0.01527,0.11513,0.0315
15,0.05282,0.01498,0.44725,0.09304
16,0.10365,0.02871,0.09723,0.0258
17,0.05488,0.0154,0.09409,0.0241
18,0.04976,0.01425,0.07742,0.0208
19,0.06288,0.01736,0.19537,0.05013
20,0.06027,0.01676,0.10185,0.02445
21,0.04737,0.0136,0.07519,0.02039
22,0.0437,0.01279,0.10259,0.02697
23,0.05564,0.01533,0.07041,0.01966
24,0.04412,0.01283,0.0754,0.01969
25,0.04146,0.01214,0.11561,0.02218
26,0.04434,0.01283,0.06846,0.01832
27,0.04612,0.01342,0.10773,0.02554
28,0.10438,0.02729,0.08034,0.02144
29,0.06244,0.01748,0.07355,0.02002
30,0.04867,0.01389,0.07795,0.02097
31,0.04275,0.01238,0.07408,0.01937
32,0.03951,0.01149,0.06799,0.01749
33,0.04013,0.01152,0.07694,0.02103
34,0.04489,0.01316,0.06871,0.01807
35,0.047,0.01344,0.16229,0.0388
36,0.04366,0.01288,0.08462,0.01942
37,0.03843,0.01134,0.07598,0.01841
38,0.0369,0.01099,0.09511,0.02025
39,0.04378,0.01256,0.0717,0.01886
40,0.03787,0.01113,0.0865,0.02013
41,0.0385,0.01153,0.07122,0.01853
42,0.03671,0.01077,0.0655,0.01682
43,0.03345,0.01006,0.07013,0.01693
44,0.03431,0.0103,0.07164,0.01648
45,0.03408,0.01021,0.0748,0.01778
46,0.03467,0.01049,0.07233,0.01719
47,0.04243,0.01238,0.14505,0.03732
48,0.04303,0.01266,0.08222,0.02126
49,0.03971,0.01175,0.1793,0.04364
50,0.05769,0.01608,0.07566,0.02007
51,0.03712,0.01115,0.07718,0.01939
52,0.0334,0.01005,0.0675,0.01726
53,0.03328,0.00998,0.06919,0.01716
54,0.03422,0.01021,0.06714,0.01652
55,0.03256,0.00979,0.06442,0.01595
56,0.03125,0.00949,0.06735,0.01603
57,0.03192,0.0096,0.07519,0.01693
58,0.03073,0.00932,0.08082,0.01713
59,0.03082,0.00938,0.06917,0.01659
60,0.0328,0.00981,0.13897,0.0247
61,0.05076,0.01471,0.07244,0.01843
62,0.07129,0.01848,1.23018,0.24804
63,0.04709,0.01328,0.08017,0.02133
64,0.03953,0.01142,0.06834,0.01845
65,0.03343,0.00985,0.07799,0.01828
66,0.03087,0.00931,0.07506,0.01695
67,0.03367,0.01011,0.0888,0.01902
68,0.03246,0.00967,0.11468,0.02441
69,0.03076,0.00932,0.07047,0.01645
70,0.02999,0.00907,0.06995,0.01706
71,0.02942,0.00896,0.07475,0.01703
72,0.02923,0.00891,0.06552,0.01661
73,0.02893,0.00882,0.06511,0.01629
74,0.02831,0.00867,0.06585,0.01552
75,0.02742,0.00845,0.06207,0.01538
76,0.02706,0.00833,0.06563,0.01562
77,0.02604,0.00804,0.06335,0.01474
78,0.02584,0.00794,0.06954,0.01611
79,0.02782,0.00837,0.09104,0.02075
80,0.03936,0.01141,0.06526,0.0166
81,0.03063,0.00925,0.07086,0.01765
82,0.02713,0.00826,0.07847,0.01843
83,0.02558,0.00785,0.07276,0.01689
84,0.02467,0.00762,0.06473,0.01514
85,0.02531,0.00781,0.07377,0.01641
86,0.02724,0.00816,0.07877,0.01868
87,0.02964,0.00892,0.16659,0.03225
88,0.03597,0.01074,0.06745,0.01708
89,0.02527,0.00765,0.13681,0.02611
90,0.02701,0.0081,0.06745,0.01643
91,0.02474,0.00746,0.07788,0.01769
92,0.02277,0.00703,0.07546,0.0174
93,0.02257,0.00691,0.07809,0.01801
94,0.02147,0.00664,0.07719,0.01712
95,0.0233,0.00713,0.06726,0.01555
96,0.02056,0.00636,0.07732,0.01723
97,0.02004,0.00618,0.08006,0.01694
98,0.01981,0.00609,0.08175,0.01774
99,0.01857,0.00574,0.08993,0.01833
100,0.01807,0.00556,0.08803,0.01823
101,0.02025,0.00622,0.0753,0.01637
102,0.01694,0.00522,0.08564,0.01716
103,0.01707,0.00527,0.08653,0.01834
104,0.0244,0.0072,0.10196,0.02286
105,0.02453,0.00734,0.07513,0.01745
