Epoch,loss,mse,val_loss,val_mse
0,0.39057,0.03652,0.38061,0.03367
1,0.33075,0.01766,0.32476,0.01621
2,0.31621,0.01371,0.32435,0.01604
3,0.30616,0.01121,0.37064,0.02996
4,0.30429,0.01083,0.30784,0.01178
5,0.29772,0.00932,0.31655,0.01559
6,0.29385,0.00843,0.29942,0.00992
7,0.29017,0.00754,0.29816,0.0098
8,0.29006,0.00752,0.4506,0.06193
9,0.28683,0.00668,0.29042,0.00734
10,0.286,0.00659,0.30174,0.00887
11,0.28167,0.00546,0.299,0.00799
12,0.28632,0.00675,0.28747,0.00641
13,0.27906,0.00481,0.28745,0.00639
14,0.27947,0.00493,0.29332,0.00786
15,0.28292,0.00571,0.46171,0.0618
16,0.2821,0.00556,0.29935,0.01007
17,0.277,0.00425,0.29415,0.00835
18,0.27803,0.00439,0.28971,0.00649
19,0.27478,0.0036,0.28907,0.00733
20,0.27292,0.00309,0.32212,0.02018
21,0.27291,0.00311,0.28467,0.00573
22,0.27314,0.00312,0.299,0.0107
23,0.28605,0.00655,0.29008,0.00737
24,0.2766,0.00413,0.28746,0.00688
25,0.27239,0.00297,0.28615,0.00586
26,0.27064,0.00249,0.28124,0.0046
27,0.2703,0.00238,0.28566,0.00565
28,0.27054,0.00245,0.28958,0.00616
29,0.27538,0.0036,0.28281,0.00554
30,0.27048,0.00241,0.28151,0.00443
31,0.26932,0.0021,0.28265,0.00471
32,0.26862,0.00187,0.2824,0.00435
33,0.26785,0.00166,0.28216,0.00421
34,0.2673,0.0015,0.28317,0.00434
35,0.27918,0.00449,0.3038,0.01254
36,0.27702,0.00404,0.28754,0.00607
37,0.26882,0.00189,0.28679,0.00548
38,0.26745,0.00154,0.28473,0.00458
39,0.26705,0.0014,0.28009,0.00409
40,0.26718,0.00144,0.2859,0.00505
41,0.26677,0.00131,0.28243,0.00454
42,0.26652,0.00125,0.28097,0.00387
43,0.26594,0.00107,0.28257,0.00438
44,0.2823,0.00545,0.28917,0.00581
45,0.27074,0.00238,0.28213,0.00493
46,0.26867,0.00189,0.2812,0.00405
47,0.26655,0.00124,0.28149,0.00427
48,0.26583,0.00104,0.28138,0.00398
49,0.26557,0.00096,0.28114,0.00371
50,0.26578,0.00103,0.28092,0.00409
51,0.26581,0.00103,0.27992,0.00379
52,0.26529,0.00088,0.28399,0.00444
53,0.27743,0.00408,0.2838,0.00558
54,0.26802,0.00162,0.28599,0.0057
55,0.27013,0.00212,0.30024,0.0113
56,0.26938,0.00205,0.28301,0.00507
57,0.26626,0.00114,0.28261,0.00433
58,0.26527,0.00087,0.28275,0.00409
59,0.26493,0.00077,0.28466,0.00424
60,0.26518,0.00082,0.28805,0.00473
61,0.26485,0.00075,0.28032,0.0038
62,0.26469,0.0007,0.28126,0.00385
63,0.27647,0.00387,0.28344,0.00514
64,0.26686,0.00132,0.27968,0.00387
65,0.26507,0.00082,0.27969,0.00363
66,0.26981,0.00209,0.28185,0.00463
67,0.26623,0.00115,0.2809,0.00404
68,0.26495,0.00078,0.28039,0.0038
69,0.26448,0.00065,0.2818,0.00378
70,0.26432,0.00061,0.28121,0.0035
71,0.26739,0.00148,0.27995,0.00384
72,0.26456,0.00068,0.2814,0.00365
73,0.26417,0.00057,0.28159,0.00365
74,0.26402,0.00053,0.28187,0.00359
75,0.2639,0.0005,0.27934,0.00336
76,0.26378,0.00046,0.2814,0.00355
77,0.26367,0.00044,0.27982,0.00335
78,0.26376,0.00046,0.28106,0.00353
79,0.2637,0.00045,0.27948,0.00341
80,0.26367,0.00045,0.28133,0.00346
81,0.26347,0.00039,0.28064,0.00336
82,0.26337,0.00037,0.27976,0.00337
83,0.26333,0.00037,0.28145,0.00333
84,0.26336,0.00038,0.28133,0.00344
85,0.26372,0.00045,0.29545,0.00765
86,0.26404,0.00055,0.28454,0.00391
87,0.26335,0.00037,0.28067,0.00326
88,0.26323,0.00034,0.28156,0.00338
89,0.26316,0.00032,0.28075,0.00332
90,0.26305,0.0003,0.28037,0.0033
91,0.27322,0.00274,1.63537,0.12217
92,0.27878,0.00401,0.28469,0.00533
93,0.26649,0.00116,0.27968,0.00389
94,0.26454,0.00066,0.28175,0.00401
95,0.26399,0.00051,0.2804,0.00365
96,0.26353,0.0004,0.28069,0.0037
97,0.26326,0.00034,0.28093,0.00349
98,0.26303,0.00028,0.28152,0.00353
99,0.26293,0.00026,0.28211,0.00356
100,0.27069,0.00244,0.28174,0.00434
101,0.26413,0.00058,0.28484,0.00413
102,0.26349,0.00041,0.28489,0.00412
103,0.26318,0.00032,0.28347,0.00377
104,0.26299,0.00028,0.2836,0.00376
105,0.26287,0.00025,0.28384,0.00376
