Epoch,loss,mse,val_loss,val_mse
0,0.41144,0.03531,0.38298,0.02213
1,0.35599,0.0177,0.39969,0.02641
2,0.33888,0.01331,0.39226,0.02455
3,0.33542,0.01217,0.74886,0.15406
4,0.32968,0.01077,0.34572,0.01384
5,0.32124,0.00842,0.34148,0.01165
6,0.32322,0.00904,0.34051,0.01059
7,0.31961,0.00797,0.34539,0.01308
8,0.31803,0.00749,0.32997,0.00844
9,0.31464,0.00666,0.32665,0.00755
10,0.31311,0.00611,0.33402,0.00842
11,0.30916,0.00517,0.32401,0.00712
12,0.31275,0.00619,0.32271,0.00656
13,0.3075,0.00466,0.32232,0.00636
14,0.31156,0.00576,0.32909,0.00838
15,0.30698,0.00445,0.32101,0.00615
16,0.3085,0.00493,0.35246,0.01534
17,0.30872,0.00501,0.32837,0.00804
18,0.30507,0.004,0.32292,0.00625
19,0.30367,0.00357,0.32139,0.0058
20,0.30351,0.00356,0.3225,0.00557
21,0.30355,0.00352,0.33562,0.01104
22,0.30449,0.00378,0.32485,0.00635
23,0.3027,0.0033,0.32328,0.00646
24,0.30087,0.00277,0.32315,0.00584
25,0.30371,0.00355,0.35879,0.01284
26,0.3041,0.00373,0.32218,0.00548
27,0.30408,0.00375,0.32178,0.00532
28,0.29974,0.00245,0.32146,0.00539
29,0.29904,0.00223,0.32188,0.00536
30,0.29917,0.00227,0.32947,0.0064
31,0.30387,0.00352,0.32209,0.00605
32,0.29889,0.00219,0.32028,0.00548
33,0.30069,0.00275,0.32876,0.00646
34,0.29904,0.00222,0.32244,0.00553
35,0.29803,0.00195,0.32177,0.00517
36,0.30105,0.00278,0.32954,0.00806
37,0.29943,0.00235,0.32437,0.00529
38,0.29709,0.00168,0.32661,0.00536
39,0.29657,0.00154,0.32493,0.00521
40,0.29617,0.00143,0.3238,0.00502
41,0.30099,0.00278,0.32465,0.00554
42,0.2966,0.00154,0.32474,0.00509
43,0.29589,0.00135,0.32694,0.0055
44,0.30095,0.00277,0.32309,0.00656
45,0.29726,0.00173,0.32362,0.00519
46,0.29586,0.00135,0.32162,0.00481
47,0.29546,0.00125,0.32155,0.00468
48,0.2964,0.00152,0.33201,0.00856
49,0.29843,0.00208,0.32801,0.00589
50,0.29539,0.00123,0.32529,0.00506
51,0.29471,0.00104,0.32524,0.00495
52,0.29445,0.00098,0.32686,0.00498
53,0.29438,0.00096,0.32837,0.00497
54,0.3003,0.00264,0.3221,0.00602
55,0.29528,0.0012,0.32368,0.00499
56,0.29415,0.00091,0.32761,0.0049
57,0.294,0.00088,0.32936,0.00497
58,0.29362,0.00078,0.32515,0.00469
59,0.29347,0.00074,0.32788,0.00473
60,0.29353,0.00076,0.32541,0.00484
61,0.29368,0.0008,0.32506,0.00484
62,0.30149,0.00296,0.32124,0.00517
63,0.29435,0.00098,0.32328,0.00483
64,0.29332,0.00072,0.32574,0.00473
65,0.29303,0.00065,0.32824,0.00476
66,0.29285,0.00061,0.32773,0.00467
67,0.29264,0.00056,0.32722,0.0047
68,0.29278,0.00059,0.32479,0.0046
69,0.29261,0.00055,0.32254,0.00455
70,0.30224,0.00305,0.32204,0.00579
71,0.29468,0.00107,0.3213,0.00489
72,0.29313,0.00068,0.32498,0.00481
