Epoch,loss,mse,val_loss,val_mse
0,0.43146,0.04262,0.42347,0.03722
1,0.36403,0.02042,0.35419,0.01896
2,0.35087,0.01671,0.33725,0.01316
3,0.34344,0.01467,0.34161,0.01527
4,0.33745,0.01298,0.32539,0.01042
5,0.33583,0.01262,0.34248,0.01583
6,0.3276,0.01056,0.32054,0.00864
7,0.32521,0.00989,0.34234,0.01643
8,0.31964,0.0084,0.32394,0.01003
9,0.32158,0.00894,0.31544,0.00808
10,0.31777,0.00776,0.3465,0.01384
11,0.31479,0.00692,0.32494,0.00887
12,0.3121,0.00637,0.31498,0.00775
13,0.31177,0.00627,0.32005,0.00791
14,0.31045,0.00589,0.31188,0.0065
15,0.3082,0.00529,0.3098,0.00647
16,0.30978,0.00563,0.31269,0.007
17,0.30992,0.00561,0.31852,0.00923
18,0.30725,0.00497,0.31252,0.00629
19,0.30399,0.00406,0.31023,0.00604
20,0.30448,0.00419,0.31197,0.00639
21,0.31891,0.00806,0.33295,0.01385
22,0.30761,0.005,0.31722,0.0075
23,0.30762,0.00502,0.32932,0.01178
24,0.30311,0.00381,0.30799,0.00525
25,0.30153,0.00335,0.3248,0.00747
26,0.30156,0.00341,0.30788,0.00493
27,0.3006,0.00307,0.30731,0.0055
28,0.30306,0.0038,0.31517,0.00611
29,0.30965,0.00538,0.32182,0.00967
30,0.30438,0.00413,0.31445,0.00613
31,0.30096,0.00319,0.30811,0.00512
32,0.29989,0.00287,0.34522,0.01868
33,0.30075,0.0031,0.30712,0.00509
34,0.29863,0.00251,0.30901,0.00488
35,0.29833,0.00242,0.30571,0.00462
36,0.29936,0.0027,0.31064,0.00562
37,0.30011,0.00293,0.34605,0.01705
38,0.30113,0.00317,0.31216,0.00554
39,0.30013,0.00296,0.3317,0.00775
40,0.29833,0.00242,0.30946,0.00492
41,0.297,0.00203,0.30855,0.00466
42,0.29653,0.00189,0.30952,0.00454
43,0.30083,0.00312,0.30797,0.00534
44,0.29746,0.00218,0.30914,0.0048
45,0.29608,0.00177,0.31022,0.0048
46,0.29681,0.00197,0.31415,0.00527
47,0.2962,0.0018,0.30844,0.00448
48,0.30173,0.00342,0.31306,0.00591
49,0.29765,0.00219,0.31304,0.0053
50,0.29564,0.00165,0.31008,0.00447
51,0.2977,0.00221,0.30509,0.00431
52,0.29543,0.00158,0.30879,0.00433
53,0.29509,0.0015,0.31292,0.00457
54,0.29471,0.00139,0.30781,0.00417
55,0.29816,0.00234,0.3292,0.01329
56,0.29998,0.00286,0.31297,0.00523
57,0.29514,0.00151,0.30976,0.0044
58,0.29439,0.00131,0.30946,0.00436
59,0.29392,0.00119,0.30985,0.00428
60,0.29367,0.00112,0.31114,0.00449
61,0.30153,0.00315,0.3077,0.005
62,0.29508,0.0015,0.31075,0.00461
63,0.29418,0.00126,0.30935,0.00449
64,0.2936,0.00111,0.3109,0.00437
65,0.2934,0.00105,0.3136,0.00456
66,0.29303,0.00096,0.31301,0.0047
67,0.29314,0.00099,0.31162,0.0044
68,0.29354,0.00109,0.32288,0.00524
69,0.29298,0.00096,0.31283,0.00451
70,0.2925,0.00084,0.31419,0.00449
71,0.29388,0.00121,0.32001,0.00475
72,0.29265,0.00088,0.31804,0.00847
73,0.29312,0.001,0.31293,0.00437
74,0.29224,0.00081,0.31282,0.00429
75,0.29749,0.00221,0.31281,0.00458
76,0.29284,0.00094,0.31142,0.00413
77,0.29218,0.00079,0.31513,0.0046
78,0.29375,0.00117,0.30956,0.004
79,0.29191,0.0007,0.31298,0.00393
80,0.29147,0.0006,0.3117,0.00396
81,0.2913,0.00056,0.31154,0.00391
82,0.29177,0.00073,0.31291,0.00414
83,0.29518,0.00159,0.31285,0.00435
84,0.29161,0.00063,0.31591,0.00585
85,0.29146,0.0006,0.31366,0.0042
86,0.29608,0.00192,0.34146,0.0086
87,0.29426,0.00132,0.30816,0.00415
88,0.29178,0.00068,0.3119,0.00418
89,0.29136,0.00058,0.31357,0.00411
90,0.29112,0.00052,0.31356,0.00397
91,0.29123,0.00059,0.31015,0.00399
