Epoch,loss,mse,val_loss,val_mse
0,0.40109,0.12235,0.46643,0.15234
1,0.28797,0.08135,0.33558,0.10995
2,0.24722,0.06906,0.46168,0.1543
3,0.214,0.0593,0.26571,0.07516
4,0.21511,0.06047,0.28042,0.08707
5,0.18845,0.05291,0.21975,0.06162
6,0.16032,0.04495,0.25234,0.08417
7,0.14956,0.04208,0.20287,0.06172
8,0.16782,0.04675,0.17508,0.05102
9,0.16205,0.04535,0.2024,0.06247
10,0.13236,0.03797,0.23341,0.07268
11,0.14943,0.04203,0.16558,0.0463
12,0.12556,0.03558,0.13575,0.03872
13,0.12031,0.03422,0.15602,0.0435
14,0.10993,0.03153,0.13507,0.03874
15,0.09812,0.0285,0.10337,0.02959
16,0.11242,0.03184,0.30291,0.08595
17,0.10816,0.03116,0.1115,0.03213
18,0.09226,0.02687,0.10634,0.03016
19,0.0827,0.02411,0.1034,0.02935
20,0.08237,0.0242,0.1298,0.03512
21,0.0849,0.02464,0.1145,0.03183
22,0.07537,0.02217,0.10412,0.02942
23,0.07645,0.02257,0.11458,0.03196
24,0.0907,0.02614,0.13164,0.03853
25,0.07489,0.02213,0.09233,0.02633
26,0.0812,0.02376,0.11607,0.03236
27,0.06899,0.02044,0.08973,0.02629
28,0.06545,0.01947,0.09895,0.02842
29,0.06453,0.01915,0.09143,0.02645
30,0.06586,0.01941,0.16442,0.04565
31,0.09487,0.0276,0.10105,0.0285
32,0.06346,0.01882,0.10948,0.02937
33,0.06155,0.01823,0.09926,0.02691
34,0.05812,0.01744,0.0918,0.02594
35,0.05595,0.01683,0.09472,0.02655
36,0.06153,0.01852,0.11171,0.02776
37,0.06103,0.01825,0.09068,0.02587
38,0.05463,0.01642,0.09447,0.02539
39,0.05941,0.0176,0.09903,0.02715
40,0.05307,0.01607,0.09596,0.02618
41,0.05737,0.0172,0.09022,0.0256
42,0.04954,0.01505,0.09478,0.02567
43,0.05136,0.01555,0.09059,0.02589
44,0.04786,0.01464,0.10875,0.0281
45,0.0731,0.0209,0.10871,0.02992
46,0.04798,0.01463,0.10008,0.02587
47,0.04399,0.01346,0.09837,0.02537
48,0.06331,0.01872,0.09206,0.02516
49,0.04515,0.01376,0.10249,0.02644
50,0.04339,0.01327,0.0952,0.02496
51,0.06936,0.02025,0.09516,0.0269
52,0.04764,0.01452,0.0989,0.02607
53,0.04296,0.01302,0.10171,0.02612
54,0.04084,0.01251,0.0986,0.02496
55,0.03945,0.01205,0.09717,0.02504
56,0.03783,0.01163,0.11306,0.02689
57,0.0563,0.01568,0.19376,0.05287
